Fragebogenkürzel;Frage;Item;Subskala1;Subskala2;Subskala3;Umkodieren? (x);Wie viele Antwortmöglichkeiten? (2-7);Wie Score Berechenen
AGG1[AGG10];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Manchmal fühle ich mich wie ein Pulverfass, jederzeit bereit zu explodieren.];AGG_Anger;;;;4;Summe
AGG2[AGG11];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Glück scheinen immer nur die anderen zu haben.];AGG_Mistrust;;;;4;Summe
AGG2[AGG12];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Ich werde häufiger in Schlägereien verwickelt als andere.];AGG_PhysicalAggression;;;;4;Summe
AGG2[AGG13];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Wenn andere mit mir nicht übereinstimmen, kann ich mich nicht zurückhalten, mit ihnen darüber zu streiten.];AGG_VerbalAggression;;;;4;Summe
AGG2[AGG14];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Ich bin eine ausgeglichene Person.];AGG_Anger;;;x;4;Summe
AGG2[AGG15];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Ich frage mich, warum ich manchmal so verbittert bin.];AGG_Mistrust;;;;4;Summe
AGG2[AGG16];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Wenn es sein muss, verteidige ich meine Rechte auch mit Gewalt.];AGG_PhysicalAggression;;;;4;Summe
AGG2[AGG17];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Meine Freunde sagen, ich sei etwas streitlustig.];AGG_VerbalAggression;;;;4;Summe
AGG2[AGG18];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Ich bin schon so ausgerastet, dass ich Gegenstände zerschlagen habe.];AGG_PhysicalAggression;;;;4;Summe
AGG2[AGG19];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Manche Leute haben mich schon so weit gebracht, dass wir uns geprügelt haben.];AGG_PhysicalAggression;;;;4;Summe
AGG2[AGG20];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Ich brause manchmal wegen Nichtigkeiten auf.];AGG_Anger;;;;4;Summe
AGG3[AGG21];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Gegenüber allzu freundlichen Fremden bin ich misstrauisch.];AGG_Mistrust;;;;4;Summe
AGG3[AGG22];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Ich kann mir keinen Grund vorstellen, weshalb ich jemals eine andere Person schlagen würde.];AGG_PhysicalAggression;;;x;4;Summe
AGG3[AGG23];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Es fällt mir schwer, meinen Zorn zu kontrollieren.];AGG_Anger;;;;4;Summe
AGG3[AGG24];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Manchmal habe ich das Gefühl, dass andere hinter meinem Rücken über mich lachen.];AGG_Mistrust;;;;4;Summe
AGG3[AGG25];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Ich habe schon Leute bedroht, die ich gut kenne.];AGG_PhysicalAggression;;;;4;Summe
AGG3[AGG26];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Einige meiner Freunde halten mich für einen Hitzkopf.];AGG_Anger;;;;4;Summe
AGG3[AGG27];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Wenn Leute besonders nett zu mir sind, frage ich mich, was sie von mir wollen.];AGG_Mistrust;;;;4;Summe
AGG3[AGG28];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;"Ich weiß, dass meine ""Freunde"" hinter meinem Rücken über mich reden.]";AGG_Mistrust;;;;4;Summe
AGG3[AGG29];Manche Leute reagieren auf Frustrationen oder Ungerechtigkeiten im Alltag eher gelassen und selbstbewusst, andere mehr impulsiv und aufbrausend oder sie zeigen ihren Ärger. Wir haben dafür einen Fragebogen entwickelt, den wir mit Ihrer Hilfe gerne überprüfen möchten. Dazu bitten wir Sie nun um Ihre eigene Einschätzung. Hier folgen einige Aussagen, die sich auf ausgewählte Aspekte Ihrer Person beziehen. Kreuzen Sie bitte jeweils eine der Antwortmöglichkeiten danach an, ob die jeweilige Aussage Ihrer Meinung nach für Sie mehr oder weniger zutrifft bzw. nicht zutrifft. Denken Sie dabei immer an die generelle Tendenz, die Ihrer Persönlichkeit entsprechen würde, nicht an Ausnahmesituationen. Versuchen Sie, spontan zu antworten und nicht zu lange nachzugrübeln! ;Wenn mich Leute ärgern, sage ich ihnen, was ich über sie denke.];AGG_VerbalAggression;;;;4;Summe
RSTPQ1[RSTPQ01];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Ich fühle mich traurig, selbst wenn ich nur einen kleinen Rückschlag erleide.];RSTPQ_BIS;RSTPQ_BehavioralDisengagement;;;4;Summe
RSTPQ1[RSTPQ02];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Ich beschäftige mich häufig mit unangenehmen Gedanken.];RSTPQ_BIS;RSTPQ_ObsessiveThoughts;;;4;Summe
RSTPQ1[RSTPQ03];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Manchmal bereiten mir selbst kleine Dinge im Leben große Freude.];RSTPQ_BAS;RSTPQ_RewardReactivity;;;4;Summe
RSTPQ1[RSTPQ04];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Ich bin sehr empfänglich für Belohnungen.];RSTPQ_BAS;RSTPQ_RewardReactivity;;;4;Summe
RSTPQ1[RSTPQ05];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Ich strenge mich sehr an, um wichtige Ziele in meinem Leben zu erreichen.];RSTPQ_BAS;RSTPQ_DrivePersistence;;;4;Summe
RSTPQ1[RSTPQ06];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Manchmal fühleich mich ohne einen guten Grund unglücklich.];RSTPQ_BIS;RSTPQ_BehavioralDisengagement;;;4;Summe
RSTPQ1[RSTPQ07];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Wenn ich mich niedergeschlagen fühle, neige ich dazu, mich von anderen Menschen fernzuhalten.];RSTPQ_BIS;RSTPQ_BehavioralDisengagement;;;4;Summe
RSTPQ1[RSTPQ08];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Ich erlebe es häufig, dass eine Welle von Freude meinen Körper durchströmt.];RSTPQ_BAS;RSTPQ_RewardReactivity;;;4;Summe
RSTPQ1[RSTPQ09];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Ich würde beim Anblick einer Schlange oder Spinne auf der Stelle erstarren.];RSTPQ_FFS;RSTPQ_Freezing;;;4;Summe
RSTPQ1[RSTPQ10];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Ich habe häufig viel Zeit alleine verbracht, um allem zu entkommen und meine Ruhe zu haben.];RSTPQ_BIS;RSTPQ_BehavioralDisengagement;;;4;Summe
RSTPQ1[RSTPQ11];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Ich bin ein sehr aktiver Mensch.];RSTPQ_BAS;RSTPQ_RewardInterest;;;4;Summe
RSTPQ1[AC04];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Ein Delphin ist ein Tier.];AttentionCheck;;;;4;Summe
RSTPQ2[RSTPQ12];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Ich bin dazu motiviert, in meinem Privatleben erfolgreich zu sein.];RSTPQ_BAS;RSTPQ_DrivePersistence;;;4;Summe
RSTPQ2[RSTPQ13];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Ich bin ständig „auf Achse“.];RSTPQ_BAS;RSTPQ_RewardInterest;;;4;Summe
RSTPQ2[RSTPQ14];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Ich probiere regelmäßig neue Aktivitäten aus, nur um zu sehen, ob sie mir Spaß machen.];RSTPQ_BAS;RSTPQ_RewardInterest;;;4;Summe
RSTPQ2[RSTPQ15];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Von neuen Projekten lasse ich mich mitreißen.];RSTPQ_BAS;RSTPQ_RewardInterest;;;4;Summe
RSTPQ2[RSTPQ16];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Gute Nachrichten machen mich überglücklich.];RSTPQ_BAS;RSTPQ_RewardReactivity;;;4;Summe
RSTPQ2[RSTPQ17];Im Folgenden finden Sie eine Reihe von Aussagen über alltägliche Gefühle und Verhaltensweisen. Bitte bewerten Sie, wie genau jede dieser Aussagen im Allgemeinen auf Sie zutrifft. Bitte kreisen Sie jeweils nur eine Antwort ein. Denken Sie nicht zu lange über die Fragen nach und beantworten Sie sie bitte wahrheitsgemäß. Ihre Antworten werden vertraulich behandelt. ;Der Gedanke an einen Fehler in meiner Arbeit beunruhigt mich.];RSTPQ_BIS;RSTPQ_CautiousRiskAssessment;;;4;Summe
